catch,id,firstClear,tag,stars,players,tweets,clears,attempts,clearRate
"2018-03-13 23:43:43.088",140E-0000-0321-38D6,geniusmg,Puzzle,5369,30074,0,14604,100455,14.53
"2018-03-13 22:13:30.453",140E-0000-0321-38D6,geniusmg,Puzzle,5369,30072,0,14603,100447,14.53
"2018-03-14 00:29:14.392",140E-0000-0321-38D6,geniusmg,Puzzle,5369,30075,0,14604,100456,14.53
"2018-03-13 19:59:53.239",140E-0000-0321-38D6,geniusmg,Puzzle,5369,30068,0,14600,100431,14.53
"2018-03-13 17:43:02.888",140E-0000-0321-38D6,geniusmg,Puzzle,5369,30067,0,14600,100420,14.53
"2018-03-13 16:56:59.61",140E-0000-0321-38D6,geniusmg,Puzzle,5369,30066,0,14600,100417,14.53
"2018-03-13 20:44:42.872",140E-0000-0321-38D6,geniusmg,Puzzle,5369,30071,0,14602,100437,14.53
"2018-03-13 15:24:07.361",140E-0000-0321-38D6,geniusmg,Puzzle,5368,30064,0,14599,100408,14.53
"2018-03-13 14:36:28.168",140E-0000-0321-38D6,geniusmg,Puzzle,5366,30061,0,14598,100402,14.53
"2018-03-13 08:34:37.638",140E-0000-0321-38D6,geniusmg,Puzzle,5365,30059,0,14598,100399,14.54
